identifier,ra_deg,dec_deg,galactic_longitude_deg,galactic_latitude_deg,major_axis_arcmin,minor_axis_arcmin,morphology,flux_1ghz_jy,flux_limit_flag,flux_uncertain,spectral_index,spectral_index_flag,alternate_names
G057.2+00.8,293.74583333333334,21.95,57.299815222765965,0.8334165973125657,12.0,12.0,S?,1.7999999523162842,,,0.3499999940395355,,(4C21.53)
G059.5+00.1,295.63749999999993,23.583333333333332,59.579299428825955,0.11625235900408315,15.0,15.0,S,3.0,,?,nan,?,
G063.7+01.1,296.96666666666664,27.75,63.78611089557713,1.165403767339534,8.0,8.0,F,1.7999999523162842,,,0.23999999463558197,,
G064.5+00.9,297.6041666666666,28.266666666666666,64.51687403322988,0.942042780492951,8.0,8.0,S?,0.20000000298023224,,?,0.5,,
G065.1+00.6,298.66666666666663,28.583333333333332,65.26784128063564,0.302118507043642,90.0,50.0,S,5.5,,,0.6100000143051147,,
G065.3+05.7,293.25,31.166666666666668,65.17867128925077,5.660732351359528,310.0,240.0,S?,42.0,,,0.6000000238418579,,
G065.7+01.2,298.04166666666663,29.433333333333334,65.71593790483138,1.2079338331089926,22.0,22.0,F,5.099999904632568,,,nan,v,DA 495
G066.0-00.0,299.4583333333333,29.05,66.0268240469669,-0.04837515123331795,31.0,25.0,S,nan,,?,nan,?,
G067.6+00.9,299.43749999999994,30.883333333333333,67.58126886107455,0.9239093590633152,50.0,45.0,S,nan,,?,nan,?,
G067.7+01.8,298.6333333333333,31.483333333333334,67.73751726827585,1.8232989143914398,15.0,12.0,S,1.0,,,0.6100000143051147,,
G067.8+00.5,299.99999999999994,30.85,67.80583063402841,0.4951729671605345,7.0,5.0,?,nan,,?,nan,?,
G068.6-01.2,302.16666666666663,30.616666666666667,68.60349674712067,-1.203810875481596,23.0,23.0,?,1.100000023841858,,,0.20000000298023224,,
G069.0+02.7,298.3333333333333,32.916666666666664,68.83746233930162,2.777751293812565,80.0,80.0,?,120.0,,?,nan,v,CTB 80
G069.7+01.0,300.6666666666667,32.71666666666667,69.69020505646846,1.0004343695315665,16.0,14.0,S,2.0,,,0.699999988079071,,
G070.0-21.5,320.99999999999994,19.383333333333333,70.02781452299274,-21.540586123871957,330.0,240.0,S,nan,,?,nan,?,
G073.9+00.9,303.5625,36.2,73.91172683085018,0.8830111146630182,27.0,27.0,S?,9.0,,,0.23000000417232513,,
G074.0-08.5,312.75,30.666666666666668,73.9815604428497,-8.564496086488342,230.0,160.0,S,210.0,,,nan,v,Cygnus Loop
G074.9+01.2,304.00833333333327,37.2,74.94192129824903,1.1414679761901032,8.0,6.0,F,9.0,,,0.30000001192092896,,CTB 87
G076.9+01.0,305.5833333333333,38.71666666666667,76.89502324428027,0.9717601912540884,9.0,9.0,C,2.0,,?,nan,?,
G078.2+02.1,305.20833333333326,40.43333333333333,78.1427688857835,2.186191992287304,60.0,60.0,S,320.0,,,0.5099999904632568,,"DR4, gamma Cygni SNR"
G082.2+05.3,304.74999999999994,45.5,82.14997076063788,5.316440526320975,95.0,65.0,S,120.0,,?,0.5,?,W63
G083.0-00.3,311.72916666666663,42.86666666666667,83.00153580152597,-0.2717494620335195,9.0,7.0,S,1.0,,,0.4000000059604645,,
G084.2-00.8,313.3333333333333,43.45,84.19458326227124,-0.806820553126703,20.0,16.0,S,11.0,,,0.5,,
G085.4+00.7,312.66666666666663,45.36666666666667,85.36579585386791,0.783364485761707,24.0,24.0,S,nan,,?,0.20000000298023224,,
G085.9-00.6,314.66666666666663,44.88333333333333,85.90614827935,-0.6068763858920994,24.0,24.0,S,nan,,?,0.20000000298023224,,
G089.0+04.7,311.24999999999994,50.583333333333336,88.83818293168325,4.794118242535442,120.0,90.0,S,220.0,,,0.3799999952316284,,HB21
G093.3+06.9,313.10416666666663,55.35,93.2780182778739,6.9056634017907905,27.0,20.0,C?,9.0,,,0.44999998807907104,,"DA 530, 4C(T)55.38.1"
G093.7-00.2,322.3333333333333,50.833333333333336,93.75367987052624,-0.21830230879993778,80.0,80.0,S,65.0,,,0.6499999761581421,,"CTB 104A, DA 551"
G094.0+01.0,321.20833333333326,51.88333333333333,93.97408123383993,1.0256232321008922,30.0,25.0,S,13.0,,,0.44999998807907104,,3C434.1
G096.0+02.0,322.62499999999994,53.983333333333334,96.04343633316799,1.9526313671522582,26.0,26.0,S,0.30000001192092896,,,0.6000000238418579,,
G106.3+02.7,336.87499999999994,60.833333333333336,106.27317823048514,2.705242561989878,60.0,24.0,C?,6.0,,,0.6000000238418579,,
G107.0+09.0,330.24999999999994,66.5,107.06875151520435,9.031459113540825,180.0,180.0,?,11.0,,?,0.8999999761581421,?,
G108.2-00.6,343.41666666666663,58.833333333333336,108.19334999689,-0.6267114394660103,70.0,54.0,S,8.0,,,0.5,,
G109.1-01.0,345.3958333333333,58.88333333333333,109.14156422389327,-1.01546632137218,28.0,28.0,S,20.0,,,0.44999998807907104,,CTB 109
G111.7-02.1,350.8583333333333,58.8,111.73381347773633,-2.1451480471348514,5.0,5.0,S,2300.0,,,0.7699999809265137,,"Cassiopeia A, 3C461"
G113.0+00.2,351.7083333333333,61.43333333333333,112.99622450448871,0.2044210437166178,40.0,17.0,?,4.0,,,0.5,?,
G114.3+00.3,354.24999999999994,61.916666666666664,114.2918066327339,0.30005170764228917,90.0,55.0,S,5.5,,,0.5,,
G116.5+01.1,358.41666666666663,63.25,116.48507584519568,1.1036579842450371,80.0,60.0,S,10.0,,,0.5,,
G116.6-26.1,5.75,36.5,116.5755679713008,-26.02051311918876,235.0,235.0,S,nan,,?,nan,?,
G116.9+00.2,359.79166666666663,62.43333333333333,116.92567146253221,0.17271347621414457,34.0,34.0,S,8.0,,,0.5699999928474426,,CTB 1
G119.5+10.2,1.6666666666666665,72.75,119.57930003988588,10.17032812844381,90.0,90.0,S,36.0,,,0.6000000238418579,,CTA 1
G120.1+01.4,6.324999999999999,64.15,120.0869111177418,1.4227319561221787,8.0,8.0,S,50.0,,,0.5799999833106995,,"Tycho, 3C10, SN1572"
G126.2+01.6,20.499999999999996,64.25,126.24458065889776,1.5750018392695457,70.0,70.0,S?,6.0,,,0.5,,
G127.1+00.5,22.083333333333332,63.166666666666664,127.08143051044932,0.5925584081724597,45.0,45.0,S,12.0,,,0.44999998807907104,,R5
G130.7+03.1,31.42083333333333,64.81666666666666,130.72787512845224,3.0746869289204057,9.0,5.0,F,33.0,,,0.07000000029802322,,"3C58, SN1181"
G132.7+01.3,34.41666666666666,62.75,132.62062982105655,1.5116017981266185,80.0,80.0,S,45.0,,,0.6000000238418579,,HB3
G150.3+04.5,66.75,55.46666666666667,150.27988910198266,4.4913317087785085,180.0,150.0,S,nan,,?,nan,?,
G152.4-02.1,61.95833333333333,49.18333333333333,152.55981402600435,-2.051740903648956,100.0,95.0,S,3.5,,?,0.699999988079071,?,
G156.2+05.7,74.66666666666666,51.833333333333336,156.11459298021035,5.662847904269589,110.0,110.0,S,5.0,,,0.5,,
G159.6+07.3,79.99999999999999,50.0,159.59753900372166,7.300265580758966,240.0,180.0,S,nan,,?,nan,?,
G160.9+02.6,75.24999999999999,46.666666666666664,160.4359636848391,2.7870761770039496,140.0,120.0,S,110.0,,,0.6399999856948853,,HB9
G166.0+04.3,81.625,42.93333333333333,166.1160298928732,4.277734247521219,55.0,35.0,S,7.0,,,0.3700000047683716,,VRO 42.05.01
G178.2-04.2,81.27083333333333,28.183333333333334,178.19900682194228,-4.202412866079235,72.0,62.0,S,2.0,,,0.5,,
G179.0+02.6,88.41666666666664,31.083333333333332,179.05170657340597,2.5971878417090304,70.0,70.0,S?,7.0,,,0.4000000059604645,,
G180.0-01.7,84.75,27.833333333333332,180.17018770525297,-1.8185550485225268,180.0,180.0,S,65.0,,,nan,v,S147
G181.1+09.5,96.66666666666666,32.5,181.14167147073115,9.440793196586899,74.0,74.0,S,0.4000000059604645,,?,0.4000000059604645,?,
G182.4+04.3,92.04166666666667,29.0,182.41748680142047,4.299488999539137,50.0,50.0,S,0.5,,,0.4000000059604645,,
G184.6-05.8,83.62916666666665,22.016666666666666,184.55366466967493,-5.786263765108931,7.0,5.0,F,900.0,,,0.30000001192092896,,"Crab Nebula, 3C144, SN1054"
G189.1+03.0,94.24999999999999,22.566666666666666,189.03320109310326,2.9783281512626383,45.0,45.0,C,165.0,,,0.36000001430511475,,"IC443, 3C157"
G189.6+03.3,94.91666666666666,22.0,189.8248627141234,3.2554072118739783,90.0,90.0,S,nan,,?,nan,?,
G190.9-02.2,90.47916666666666,18.4,190.9727125190085,-2.12772029873526,70.0,60.0,S,1.2999999523162842,,?,0.699999988079071,?,
G203.1+06.6,104.24999999999999,11.666666666666666,203.1306254355731,6.508979350747026,150.0,150.0,S,nan,,?,nan,?,
G205.5+00.5,99.75,6.5,205.73235852907226,0.2092822966555805,220.0,220.0,S,140.0,,,0.4000000059604645,,Monoceros Nebula
G206.7+05.9,105.24999999999999,8.166666666666666,206.7227847597304,5.82665915064164,210.0,210.0,S,nan,,?,nan,?,
G206.9+02.3,102.16666666666666,6.433333333333334,206.8883195704583,2.3152697774661175,60.0,40.0,S?,6.0,,,0.5,,PKS 0646+06
G213.0-00.6,102.70833333333333,-0.5,213.30800709976126,-0.36250300981284805,160.0,140.0,S,21.0,,,0.4000000059604645,,
G249.5+24.5,143.49999999999997,-17.0,249.80065375095418,24.898618921558892,260.0,260.0,S,27.0,,,0.699999988079071,,Hoinga
G260.4-03.4,125.54166666666667,-43.0,260.39956298484685,-3.438789140449875,60.0,50.0,S,130.0,,,0.5,,"Puppis A, MSH 08-44"
G261.9+05.5,136.08333333333331,-38.7,261.94750971463384,5.478053011749917,40.0,30.0,S,10.0,,?,0.4000000059604645,?,
G263.9-03.3,128.49999999999997,-45.833333333333336,263.9390439536057,-3.3682883580041314,255.0,255.0,C,1750.0,,,nan,v,Vela (XYZ)
G266.2-01.2,133.0,-46.333333333333336,266.25914205421213,-1.2198581804034714,120.0,120.0,S,50.0,,?,0.30000001192092896,?,RX J0852.0-4622
G272.2-03.2,136.70833333333331,-52.11666666666667,272.2170509218402,-3.1808123304949723,15.0,15.0,S?,0.4000000059604645,,,0.6000000238418579,,
G279.0+01.1,149.41666666666663,-53.25,278.6316226722896,1.2187748394763394,95.0,95.0,S,30.0,,?,0.6000000238418579,?,
G284.3-01.8,154.5625,-59.0,284.30872186696257,-1.7830694890764995,24.0,24.0,S,11.0,,?,0.30000001192092896,?,MSH 10-53
G286.5-01.2,158.91666666666666,-59.7,286.5658211459511,-1.2139908967434008,26.0,6.0,S?,1.399999976158142,,?,nan,?,
G288.8-06.3,157.58333333333331,-65.25,288.85305521913165,-6.310377103886425,108.0,96.0,S,11.0,,,0.4099999964237213,,
G289.7-00.3,165.3125,-60.3,289.68544382564113,-0.2933278949064545,18.0,14.0,S,6.199999809265137,,,0.20000000298023224,?,
G290.1-00.8,165.77083333333331,-60.93333333333333,290.14941872277745,-0.7795630404825785,19.0,14.0,S,42.0,,,0.4000000059604645,,MSH 11-61A
G291.0-00.1,167.975,-60.63333333333333,291.02313340130024,-0.08381579086135435,15.0,13.0,C,16.0,,,0.28999999165534973,,(MSH 11-62)
G292.0+01.8,171.14999999999998,-59.266666666666666,292.03027427765085,1.7546203763773744,12.0,8.0,C,15.0,,,0.4000000059604645,,MSH 11-54
G292.2-00.5,169.83333333333331,-61.46666666666667,292.16295513146315,-0.5357249528712077,20.0,15.0,S,7.0,,,0.5,,
G293.8+00.6,173.75,-60.9,293.7701532599595,0.6047882827894999,20.0,20.0,C,5.0,,?,0.6000000238418579,?,
G294.1-00.0,174.04166666666666,-61.63333333333333,294.1164757320297,-0.05664923192482758,40.0,40.0,S,2.0,>,?,nan,?,
G296.1-00.5,177.79166666666666,-62.56666666666667,296.0529032129825,-0.5026472158491869,37.0,25.0,S,8.0,,?,0.6000000238418579,?,
G296.5+10.0,182.41666666666666,-52.416666666666664,296.48796514722414,9.931668565102532,90.0,65.0,S,48.0,,,0.5,,PKS 1209-51/52
G296.7-00.9,178.87499999999997,-63.13333333333333,296.6613190618691,-0.9446336389659877,15.0,8.0,S,3.0,,,0.5,,
G296.8-00.3,179.62499999999997,-62.583333333333336,296.88070216325013,-0.3351850104863968,20.0,14.0,S,9.0,,,0.6000000238418579,,1156-62
G298.5-00.3,183.16666666666663,-62.86666666666667,298.52804374667994,-0.32690676397056656,5.0,5.0,?,5.0,,?,0.4000000059604645,?,
G298.6-00.0,183.4208333333333,-62.61666666666667,298.60619856278095,-0.06243991498332917,12.0,9.0,S,5.0,,?,0.30000001192092896,,
G299.2-02.9,183.80416666666665,-65.5,299.1849228958987,-2.892107593504282,18.0,11.0,S,0.5,,?,nan,?,
G299.6-00.5,185.43749999999997,-63.15,299.58709671686483,-0.4712185314419521,13.0,13.0,S,1.0,,?,nan,?,
G301.4-01.0,189.47916666666666,-63.81666666666667,301.4408573230472,-0.9840716389424371,37.0,23.0,S,2.0999999046325684,,?,nan,?,
G302.3+00.7,191.47916666666663,-62.13333333333333,302.2867424719497,0.7314974789109544,17.0,17.0,S,5.0,,?,0.4000000059604645,?,
G304.6+00.1,196.4958333333333,-62.7,304.5988577215081,0.12466060156927045,8.0,8.0,S,14.0,,,0.5,,Kes 17
G306.3-00.9,200.45833333333331,-63.56666666666667,306.3070576119975,-0.8942825888842976,4.0,4.0,S?,0.20000000298023224,,?,0.5,?,
G308.1-00.7,204.40416666666667,-63.06666666666667,308.133308281916,-0.6622162095657483,13.0,13.0,S,1.2000000476837158,,?,nan,?,
G308.4-01.4,205.37499999999997,-63.733333333333334,308.4368238233323,-1.397937731418394,12.0,6.0,S?,0.4000000059604645,,?,nan,?,
G308.8-00.1,205.62499999999997,-62.38333333333333,308.8109141968186,-0.09585902290688199,30.0,20.0,C?,15.0,,?,0.4000000059604645,?,
G309.2-00.6,206.62916666666666,-62.9,309.15712801028906,-0.6958747141494656,15.0,12.0,S,7.0,,?,0.4000000059604645,?,
G309.8+00.0,207.62499999999997,-62.083333333333336,309.78501226995775,-4.9906702379174034e-06,25.0,19.0,S,17.0,,,0.5,,
G310.6-01.6,210.18749999999997,-63.43333333333333,310.5898349378788,-1.5968214565256755,2.5,2.5,C?,nan,,?,nan,?,
G310.6-00.3,209.49999999999997,-62.15,310.61999656898325,-0.2759145550223502,8.0,8.0,S,5.0,,?,nan,?,Kes 20B
G310.8-00.4,209.99999999999997,-62.28333333333333,310.8106598706806,-0.46497911832281996,12.0,12.0,S,6.0,,?,nan,?,Kes 20A
G311.5-00.3,211.4083333333333,-61.96666666666667,311.53052032623873,-0.33991338184815006,5.0,5.0,S,3.0,,?,0.5,,
G312.4-00.4,213.24999999999997,-61.733333333333334,312.42947456987963,-0.3748388248022076,38.0,38.0,S,45.0,,,0.36000001430511475,,
G312.5-03.0,215.24999999999997,-64.2,312.48813054815133,-3.00270023517402,20.0,18.0,S,3.5,,?,nan,?,
G315.1+02.7,216.12499999999997,-57.833333333333336,315.0861442084898,2.8255390259069517,190.0,150.0,S,nan,,?,nan,?,
G315.4-02.3,220.74999999999997,-62.5,315.4168310552162,-2.36392806365851,42.0,42.0,S,49.0,,,0.6000000238418579,,"RCW 86, MSH 14-63"
G315.4-00.3,218.97916666666666,-60.6,315.4132829161204,-0.28525296376561876,24.0,13.0,?,8.0,,,0.4000000059604645,,
G315.9-00.0,219.60416666666663,-60.18333333333333,315.86187838227244,-0.02501665854031036,25.0,14.0,S,0.800000011920929,,?,nan,?,
G316.3-00.0,220.37499999999997,-60.0,316.2875518078141,-0.013448327386282894,29.0,14.0,S,20.0,,?,0.4000000059604645,,(MSH 14-57)
G317.3-00.2,222.41666666666663,-59.766666666666666,317.3139420809876,-0.23780593346230244,11.0,11.0,S,4.699999809265137,,?,nan,?,
G318.2+00.1,223.70833333333331,-59.06666666666667,318.2149613526416,0.09385554425325994,40.0,35.0,S,3.9000000953674316,>,?,nan,?,
G318.9+00.4,224.62499999999997,-58.483333333333334,318.90605836327984,0.3912881196422008,30.0,14.0,C,4.0,,?,0.20000000298023224,?,
G320.4-01.2,228.62499999999994,-59.13333333333333,320.3848998537073,-1.1979405708561042,35.0,35.0,C,60.0,,?,0.4000000059604645,,"MSH 15-52, RCW 89"
G320.6-01.6,229.45833333333331,-59.266666666666666,320.6779285622394,-1.5356280584720219,60.0,30.0,S,nan,,?,nan,?,
G321.9-01.1,230.93749999999994,-58.21666666666667,321.89115815957126,-1.0662903671592128,28.0,28.0,S,3.4000000953674316,>,?,nan,?,
G321.9-00.3,230.16666666666666,-57.56666666666667,321.90115701304313,-0.29801382433283163,31.0,23.0,S,13.0,,,0.30000001192092896,,
